"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ec7d932f610b5001c3efb72"")","-19.9601533","-43.9893018","Minas Gerais","Brasil","Belo Horizonte",11.2,0.19999999999999998
"ObjectId(""5ec7d94ef610b5001c3efb73"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0.59,0
"ObjectId(""5ec7d984f610b5001c3efb74"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",1.02,0
"ObjectId(""5ec7d9e7f610b5001c3efb77"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,2.48,0.2
"ObjectId(""5ec7da0bf610b5001c3efb78"")","-5.6522925","-48.1158973","Tocantins","Brasil","Araguatins",2.04,0.125
"ObjectId(""5ec7da11f610b5001c3efb79"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",38.26,0.8
"ObjectId(""5ec7da18f610b5001c3efb7a"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",38.26,0
"ObjectId(""5ec7da28f610b5001c3efb7b"")","-23.5664259","-46.7030554","São Paulo","Brasil","São Paulo",0.26,0
"ObjectId(""5ec7da32f610b5001c3efb7c"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",0.73,0.7
"ObjectId(""5ec7da52f610b5001c3efb7f"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",16.99,0.4166666666666667
"ObjectId(""5ec7da66f610b5001c3efb80"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",10.87,-0.05
"ObjectId(""5ec7da79f610b5001c3efb81"")","-22.8753053","-43.4648805","Rio de Janeiro","Brasil","Rio de Janeiro",5.46,0.13636363636363635
"ObjectId(""5ec7daaaf610b5001c3efb82"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0.46,0
"ObjectId(""5ec7dabff610b5001c3efb83"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",1.51,0
"ObjectId(""5ec7dad3f610b5001c3efb84"")","-22.0287681","-42.3607442","Rio de Janeiro","Brasil","Cordeiro",0.35,0.5416666666666666
"ObjectId(""5ec7db2cf610b5001c3efb85"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",4.44,0.5
"ObjectId(""5ec7db4af610b5001c3efb87"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",4.1,0.10416666666666666
"ObjectId(""5ec7db6cf610b5001c3efb88"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",25.48,0
"ObjectId(""5ec7db88f610b5001c3efb8a"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",0.01,1
"ObjectId(""5ec7db8ef610b5001c3efb8b"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.46,0
"ObjectId(""5ec7db93f610b5001c3efb8c"")","-15.848540700000001","-47.906078982036846","Distrito Federal","Brasil",,0.09,0.8
"ObjectId(""5ec7dbbef610b5001c3efb8e"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",1.02,-0.08522727272727272
"ObjectId(""5ec7dbccf610b5001c3efb8f"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2.33,0
"ObjectId(""5ec7dbd6f610b5001c3efb90"")","-21.9222474","-50.7317727","São Paulo","Brasil","Bastos",0.25,0
"ObjectId(""5ec7dbe7f610b5001c3efb91"")","-5.6781175","-36.4781776","Rio Grande do Norte","Brasil",,1.2,0
"ObjectId(""5ec7dc73f610b5001c3efb94"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",6.6,-0.35
"ObjectId(""5ec7dc89f610b5001c3efb95"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,0.14,0.46875
"ObjectId(""5ec7dc95f610b5001c3efb96"")","-9.754866","-36.661471","Alagoas","Brasil","Arapiraca",0.04,-0.5
"ObjectId(""5ec7dc9ff610b5001c3efb97"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dcaaf610b5001c3efb98"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dcb2f610b5001c3efb99"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",0.52,0
"ObjectId(""5ec7dcbff610b5001c3efb9a"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dce1f610b5001c3efb9b"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dce8f610b5001c3efb9c"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dd1ff610b5001c3efb9d"")","-1.6292632","-45.2368151","Maranhão","Brasil",,3.63,0.2333333333333333
"ObjectId(""5ec7ddbdf610b5001c3efb9e"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0.13,0.05
"ObjectId(""5ec7ddf4f610b5001c3efb9f"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7de09f610b5001c3efba0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.36,-0.625
"ObjectId(""5ec7de20f610b5001c3efba2"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0.19999999999999998
"ObjectId(""5ec7de55f610b5001c3efba3"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.76,0
"ObjectId(""5ec7de7bf610b5001c3efba4"")","-8.2829702","-35.9722852","Pernambuco","Brasil","Caruaru",2,0
"ObjectId(""5ec7de81f610b5001c3efba5"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.4,0.3
"ObjectId(""5ec7debcf610b5001c3efba6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",3.31,0.0625
"ObjectId(""5ec7ded5f610b5001c3efba7"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",70.76,0
"ObjectId(""5ec7def2f610b5001c3efba8"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0.1
"ObjectId(""5ec7def9f610b5001c3efba9"")","-23.4430602","-46.524459","São Paulo","Brasil","Guarulhos",0.27,0
"ObjectId(""5ec7df2af610b5001c3efbab"")","-21.265545","-48.497066","São Paulo","Brasil","Monte Alto",3,0.13636363636363635
"ObjectId(""5ec7df54f610b5001c3efbac"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7df61f610b5001c3efbad"")","-15.7754462","-47.7970891","Distrito Federal","Brasil",,1.09,0
"ObjectId(""5ec7df7af610b5001c3efbaf"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7dfadf610b5001c3efbb0"")","-5.0896403","-42.809588","Piauí","Brasil","Teresina",6.7,0.20000000000000004
"ObjectId(""5ec7dfbcf610b5001c3efbb1"")","-11.8508224","-55.5175957","Mato Grosso","Brasil","Sinop",0.58,0.13636363636363635
"ObjectId(""5ec7dfc5f610b5001c3efbb2"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",19.05,0
"ObjectId(""5ec7dfd6f610b5001c3efbb3"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e006f610b5001c3efbb5"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e018f610b5001c3efbb6"")","-15.6734913","-38.9507991","Bahia","Brasil",,25.6,0
"ObjectId(""5ec7e022f610b5001c3efbb7"")","-4.479925","-63.5185396","Amazonas","Brasil",,7.4,0.2590909090909091
"ObjectId(""5ec7e04ef610b5001c3efbb9"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0.08,0
"ObjectId(""5ec7e064f610b5001c3efbba"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",7.06,0
"ObjectId(""5ec7e071f610b5001c3efbbb"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",10.83,-0.4
"ObjectId(""5ec7e078f610b5001c3efbbc"")","-22.94150175","-43.24147005748341","Rio de Janeiro","Brasil","Rio de Janeiro",2.97,0.3333333333333333
"ObjectId(""5ec7e07ef610b5001c3efbbd"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e087f610b5001c3efbbe"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e08ef610b5001c3efbbf"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e09df610b5001c3efbc0"")","-2.6344567","-56.7319324","Amazonas","Brasil","Parintins",9.67,0.2590909090909091
"ObjectId(""5ec7e0a8f610b5001c3efbc1"")","-23.7590702","-45.7636377","São Paulo","Brasil",,7.37,-0.4
"ObjectId(""5ec7e0b5f610b5001c3efbc3"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e0c1f610b5001c3efbc4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.44,0.19999999999999998
"ObjectId(""5ec7e0d7f610b5001c3efbc6"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e0e1f610b5001c3efbc7"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e112f610b5001c3efbc8"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e125f610b5001c3efbc9"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e12cf610b5001c3efbca"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e135f610b5001c3efbcb"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e13ff610b5001c3efbcc"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e14af610b5001c3efbcd"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e156f610b5001c3efbcf"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e15df610b5001c3efbd0"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e168f610b5001c3efbd1"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e174f610b5001c3efbd2"")","-22.4896659","-47.2119005","São Paulo","Brasil","Engenheiro Coelho",0.94,0
"ObjectId(""5ec7e188f610b5001c3efbd3"")","-23.681347","-46.62052","São Paulo","Brasil","Diadema",0.07,0.16666666666666666
"ObjectId(""5ec7e198f610b5001c3efbd4"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e1a5f610b5001c3efbd5"")","-22.72528","-47.64917","São Paulo","Brasil","Piracicaba",0.18,0.5
"ObjectId(""5ec7e1b7f610b5001c3efbd6"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e1c1f610b5001c3efbd7"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e1cff610b5001c3efbd8"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1.06,0.21212121212121213
"ObjectId(""5ec7e1d8f610b5001c3efbd9"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e1e7f610b5001c3efbda"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",0.09,-0.10000000000000002
"ObjectId(""5ec7e1f9f610b5001c3efbdb"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0.02,0
"ObjectId(""5ec7e223f610b5001c3efbdc"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e22af610b5001c3efbdd"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e25df610b5001c3efbe0"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e26df610b5001c3efbe2"")","-22.2752762","-42.419415","Rio de Janeiro","Brasil",,3.61,0
"ObjectId(""5ec7e2ebf610b5001c3efbe3"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",3.01,0.16666666666666666
"ObjectId(""5ec7e2f6f610b5001c3efbe4"")","-7.2246743","-35.8771292","Paraíba","Brasil","Campina Grande",6.22,0.3
"ObjectId(""5ec7e309f610b5001c3efbe5"")","-22.5269448","-41.944972","Rio de Janeiro","Brasil","Rio das Ostras",12.16,0.875
"ObjectId(""5ec7e31cf610b5001c3efbe6"")","39.7437902","-8.8071119","Centro","Portugal","Leiria",0.98,0.5
"ObjectId(""5ec7e32ff610b5001c3efbe7"")","-18.0710561","-44.9843949","Minas Gerais","Brasil",,0.34,0
"ObjectId(""5ec7e338f610b5001c3efbe8"")","-22.5269448","-41.944972","Rio de Janeiro","Brasil","Rio das Ostras",12.16,0.875
"ObjectId(""5ec7e349f610b5001c3efbe9"")","-18.0710561","-44.9843949","Minas Gerais","Brasil",,0.34,0
"ObjectId(""5ec7e350f610b5001c3efbea"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e373f610b5001c3efbeb"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e379f610b5001c3efbec"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e396f610b5001c3efbed"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e3a1f610b5001c3efbee"")","-18.0710561","-44.9843949","Minas Gerais","Brasil",,0.34,0
"ObjectId(""5ec7e3d3f610b5001c3efbf0"")","-24.4842187","-51.8148872","Paraná","Brasil",,2.57,0.13636363636363635
"ObjectId(""5ec7e3e9f610b5001c3efbf1"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",1.11,0
"ObjectId(""5ec7e405f610b5001c3efbf2"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",5.53,0.55
