"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ebe9587e20cc80015c3ffb5"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0,0
"ObjectId(""5ebe9593e20cc80015c3ffb6"")","-31.7699736","-52.3410161","Rio Grande do Sul","Brasil","Pelotas",5,0.9
"ObjectId(""5ebe95b1e20cc80015c3ffb7"")","-10.9162061","-37.0774655","Sergipe","Brasil","Aracaju",1,-0.75
"ObjectId(""5ebe9651e20cc80015c3ffb9"")","-1.6292632","-45.2368151","Maranhão","Brasil",,9,0
"ObjectId(""5ebe9657e20cc80015c3ffba"")","-7.2246743","-35.8771292","Paraíba","Brasil","Campina Grande",1,0
"ObjectId(""5ebe967fe20cc80015c3ffbb"")","-5.8846468","-35.1775119","Rio Grande do Norte","Brasil","Natal",4,-0.09999999999999999
"ObjectId(""5ebe9689e20cc80015c3ffbc"")","-22.5615068","-47.401766","São Paulo","Brasil","Limeira",0,0.2
"ObjectId(""5ebe96d5e20cc80015c3ffbd"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",10,0
"ObjectId(""5ebe96ece20cc80015c3ffbe"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0,0
"ObjectId(""5ebe96f2e20cc80015c3ffbf"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0,0
"ObjectId(""5ebe9763e20cc80015c3ffc1"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",55,0
"ObjectId(""5ebe976ae20cc80015c3ffc2"")","-20.4615833","-54.62004315","Mato Grosso do Sul","Brasil","Campo Grande",58,0.22727272727272727
"ObjectId(""5ebe97bee20cc80015c3ffc4"")","-22.7392463","-47.3306032","São Paulo","Brasil","Americana",0,0
"ObjectId(""5ebe97cae20cc80015c3ffc5"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",3,0
"ObjectId(""5ebe97e2e20cc80015c3ffc6"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",2,0
"ObjectId(""5ebe97eee20cc80015c3ffc7"")","-31.7601509","-52.2729868","Rio Grande do Sul","Brasil","Pelotas",0,0.0037878787878787845
"ObjectId(""5ebe9876e20cc80015c3ffcc"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,0,0
"ObjectId(""5ebe987ce20cc80015c3ffcd"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0,0
"ObjectId(""5ebe98a0e20cc80015c3ffce"")","-23.6573395","-46.5322504","São Paulo","Brasil","Santo André",6,0
"ObjectId(""5ebe98a6e20cc80015c3ffcf"")","-5.0896403","-42.809588","Piauí","Brasil","Teresina",1,1
"ObjectId(""5ebe98c9e20cc80015c3ffd0"")","-9.571664349999999","-40.961051765435606",,"Brasil",,0,-0.4
"ObjectId(""5ebe98e1e20cc80015c3ffd1"")","-10.9162061","-37.0774655","Sergipe","Brasil","Aracaju",3,0.4636363636363636
"ObjectId(""5ebe98e7e20cc80015c3ffd2"")","-22.9339841","-43.1745744","Rio de Janeiro","Brasil","Rio de Janeiro",0,0
