"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ec280351a7839001ab7a0a7"")","-19.9132749","-44.0840953","Minas Gerais","Brasil","Contagem",0.38,0.5
"ObjectId(""5ec2803b1a7839001ab7a0a8"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",445.1,0
"ObjectId(""5ec2806d1a7839001ab7a0a9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",5.31,0.5
"ObjectId(""5ec2807b1a7839001ab7a0aa"")","-22.8772743","-43.4301032","Rio de Janeiro","Brasil","Rio de Janeiro",4.52,
"ObjectId(""5ec2809a1a7839001ab7a0ab"")","-22.8772743","-43.4301032","Rio de Janeiro","Brasil","Rio de Janeiro",4.52,0.5
"ObjectId(""5ec281321a7839001ab7a0af"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",11.05,0
"ObjectId(""5ec281801a7839001ab7a0b2"")","-25.4849252","-49.2153133","Paraná","Brasil","Curitiba",0.1,0.2
"ObjectId(""5ec281861a7839001ab7a0b3"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",11.21,-0.1
"ObjectId(""5ec2819c1a7839001ab7a0b4"")","-19.9132749","-44.0840953","Minas Gerais","Brasil","Contagem",8.44,0
"ObjectId(""5ec281bf1a7839001ab7a0b5"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0.03,0
"ObjectId(""5ec281c61a7839001ab7a0b6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",5.01,0
"ObjectId(""5ec281cf1a7839001ab7a0b7"")","-10.6743911","-37.3773519","Sergipe","Brasil",,15.31,0
"ObjectId(""5ec281f61a7839001ab7a0b9"")","-23.415296","-51.42592","Paraná","Brasil","Arapongas",4.25,-0.06666666666666664
"ObjectId(""5ec281fe1a7839001ab7a0ba"")","-22.519963","-43.192613","Rio de Janeiro","Brasil","Petrópolis",2.09,0
"ObjectId(""5ec282401a7839001ab7a0bb"")","-22.7824349","-46.5901718","São Paulo","Brasil","Pinhalzinho",1.68,0.7
"ObjectId(""5ec2825a1a7839001ab7a0bc"")","-22.519963","-43.192613","Rio de Janeiro","Brasil","Petrópolis",2.09,0.5625
"ObjectId(""5ec2826d1a7839001ab7a0bd"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",1.75,0
"ObjectId(""5ec282d01a7839001ab7a0be"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1.06,0
"ObjectId(""5ec282d61a7839001ab7a0bf"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0.82,0.15625
"ObjectId(""5ec282fe1a7839001ab7a0c2"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0.05,0.2
"ObjectId(""5ec283251a7839001ab7a0c4"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",1.4,0
"ObjectId(""5ec2836e1a7839001ab7a0c6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2.8,0.2
"ObjectId(""5ec283b51a7839001ab7a0c9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1.89,0
"ObjectId(""5ec283bd1a7839001ab7a0ca"")","-6.2319396","-35.0456846","Rio Grande do Norte","Brasil",,28.4,0.7
"ObjectId(""5ec283d31a7839001ab7a0cb"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",3.57,0
"ObjectId(""5ec2840e1a7839001ab7a0cc"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,0.18,0
"ObjectId(""5ec284451a7839001ab7a0cd"")","-21.9549806","-49.0232348","São Paulo","Brasil",,3.3,0
"ObjectId(""5ec284611a7839001ab7a0ce"")","-22.2752762","-42.419415","Rio de Janeiro","Brasil",,10.14,0
"ObjectId(""5ec284731a7839001ab7a0cf"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",1.9,0
"ObjectId(""5ec284861a7839001ab7a0d0"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",168.37,0.22812500000000002
"ObjectId(""5ec284941a7839001ab7a0d1"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2.25,0
"ObjectId(""5ec2849a1a7839001ab7a0d2"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,2.46,0
"ObjectId(""5ec284ba1a7839001ab7a0d4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",304.68,0.5
"ObjectId(""5ec284c01a7839001ab7a0d5"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,2.46,0
"ObjectId(""5ec284e51a7839001ab7a0d6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",15.82,0
"ObjectId(""5ec284ec1a7839001ab7a0d7"")","-7.2246743","-35.8771292","Paraíba","Brasil","Campina Grande",3.97,0
"ObjectId(""5ec285171a7839001ab7a0d8"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",0.82,0
"ObjectId(""5ec285261a7839001ab7a0d9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",15.82,0
"ObjectId(""5ec285551a7839001ab7a0db"")","-19.7459693","-47.9162721","Minas Gerais","Brasil","Uberaba",0.08,-0.25
"ObjectId(""5ec285721a7839001ab7a0dd"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",6.46,0
"ObjectId(""5ec285c01a7839001ab7a0e0"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,2984.91,0.35833333333333334
"ObjectId(""5ec285c81a7839001ab7a0e1"")","-19.5372264","-40.6264497","Espírito Santo","Brasil","Colatina",0.59,0.2
"ObjectId(""5ec285fb1a7839001ab7a0e2"")","-4.0885957","-63.1431166","Amazonas","Brasil","Coari",0.25,0
"ObjectId(""5ec2861a1a7839001ab7a0e3"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",7.45,0.3111111111111111
"ObjectId(""5ec286421a7839001ab7a0e4"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",24.36,0.5
"ObjectId(""5ec286741a7839001ab7a0e5"")","-20.984532","-47.657217","São Paulo","Brasil","Brodowski",6.04,0
