"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebd5a09c7b01f00197ab64a"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0
"ObjectId(""5ebd5a21c7b01f00197ab64b"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",1
"ObjectId(""5ebd5a4dc7b01f00197ab64c"")","-20.4640173","-54.6162947","Mato Grosso do Sul","Brasil","Campo Grande",0
"ObjectId(""5ebd5a66c7b01f00197ab64e"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd5a7fc7b01f00197ab650"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1
"ObjectId(""5ebd5a9ac7b01f00197ab651"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",0
"ObjectId(""5ebd5aadc7b01f00197ab652"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",4
"ObjectId(""5ebd5acfc7b01f00197ab653"")","-27.0628367","-51.114965","Santa Catarina","Brasil",,0
"ObjectId(""5ebd5ad6c7b01f00197ab654"")","-10.6743911","-37.3773519","Sergipe","Brasil",,0
"ObjectId(""5ebd5b01c7b01f00197ab656"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",29
"ObjectId(""5ebd5b53c7b01f00197ab657"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd5b5cc7b01f00197ab658"")","-22.9332164","-43.2381453","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd5b7bc7b01f00197ab65a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd5b82c7b01f00197ab65b"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd5ba7c7b01f00197ab65c"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5c33c7b01f00197ab65e"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",2
"ObjectId(""5ebd5c4cc7b01f00197ab65f"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd5c5fc7b01f00197ab660"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",2
"ObjectId(""5ebd5cb7c7b01f00197ab663"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",4
"ObjectId(""5ebd5cf5c7b01f00197ab666"")","-20.624970400000002","-40.75006690147988","Espírito Santo","Brasil",,0
"ObjectId(""5ebd5cfec7b01f00197ab667"")","-19.968056","-44.198333","Minas Gerais","Brasil","Betim",0
"ObjectId(""5ebd5d06c7b01f00197ab668"")","-6.25157245","-36.52997164724819","Rio Grande do Norte","Brasil",,1
"ObjectId(""5ebd5d2ec7b01f00197ab669"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",3
"ObjectId(""5ebd5d48c7b01f00197ab66a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
