"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebbf3273ac25f001901a28a"")","-10.7299404","-37.188505750000004","Sergipe","Brasil",,
"ObjectId(""5ebbf3543ac25f001901a28b"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbf35c3ac25f001901a28c"")","-29.6860512","-53.8069214","Rio Grande do Sul","Brasil","Santa Maria",
"ObjectId(""5ebbf3653ac25f001901a28d"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbf3713ac25f001901a28e"")","-31.7699736","-52.3410161","Rio Grande do Sul","Brasil","Pelotas",
"ObjectId(""5ebbf3a43ac25f001901a290"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbf3c53ac25f001901a291"")","-9.6476843","-35.7339264","Alagoas","Brasil","Maceió",
"ObjectId(""5ebbf3cc3ac25f001901a292"")","-10.8855129","-48.3716912","Tocantins","Brasil",,
"ObjectId(""5ebbf3d23ac25f001901a293"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf40d3ac25f001901a294"")","-15.4571536","-47.6089024","Goiás","Brasil","Planaltina",
"ObjectId(""5ebbf43a3ac25f001901a298"")","-4.2804985","-38.9145214","Ceará","Brasil",,
"ObjectId(""5ebbf4523ac25f001901a29a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf46c3ac25f001901a29b"")","-8.9154399","-71.3759067","Acre","Brasil",,
"ObjectId(""5ebbf4823ac25f001901a29c"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",
"ObjectId(""5ebbf48a3ac25f001901a29d"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbf4963ac25f001901a29e"")","-21.2307403","-43.7702571","Minas Gerais","Brasil","Barbacena",
"ObjectId(""5ebbf4a43ac25f001901a29f"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbf4c33ac25f001901a2a2"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbf4f83ac25f001901a2a3"")","-21.35938","-48.23158","São Paulo","Brasil","Guariba",
"ObjectId(""5ebbf5393ac25f001901a2a4"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbf5e53ac25f001901a2a6"")","-15.7754462","-47.7970891","Distrito Federal","Brasil",,
"ObjectId(""5ebbf5f53ac25f001901a2a7"")","-12.285251","-41.9294776","Bahia","Brasil",,
"ObjectId(""5ebbf6233ac25f001901a2a8"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbf64c3ac25f001901a2aa"")","-20.3851692","-43.5036344","Minas Gerais","Brasil","Ouro Preto",
"ObjectId(""5ebbf67d3ac25f001901a2ab"")","-20.892867","-47.592149","São Paulo","Brasil","Batatais",
"ObjectId(""5ebbf6833ac25f001901a2ac"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",
"ObjectId(""5ebbf6893ac25f001901a2ad"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf6a53ac25f001901a2ae"")","-22.7896225","-43.309929","Rio de Janeiro","Brasil","Duque de Caxias",
"ObjectId(""5ebbf6c43ac25f001901a2af"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",
"ObjectId(""5ebbf6fa3ac25f001901a2b3"")","-27.0628367","-51.114965","Santa Catarina","Brasil",,
"ObjectId(""5ebbf7033ac25f001901a2b4"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",
"ObjectId(""5ebbf7193ac25f001901a2b6"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbf71f3ac25f001901a2b7"")","-23.8173873","-53.0290147","Paraná","Brasil",,
"ObjectId(""5ebbf7343ac25f001901a2b9"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbf7413ac25f001901a2ba"")","-12.285251","-41.9294776","Bahia","Brasil",,
"ObjectId(""5ebbf76e3ac25f001901a2bc"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",
"ObjectId(""5ebbf77b3ac25f001901a2bd"")","-22.4100108","-47.5603933","São Paulo","Brasil","Rio Claro",
"ObjectId(""5ebbf78e3ac25f001901a2bf"")","-1.374035","-48.4016623","Pará","Brasil","Ananindeua",
"ObjectId(""5ebbf7af3ac25f001901a2c1"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbf7e03ac25f001901a2c3"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbf8043ac25f001901a2c5"")","-8.7494525","-63.8735438","Rondônia","Brasil","Porto Velho",
"ObjectId(""5ebbf80b3ac25f001901a2c6"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",
"ObjectId(""5ebbf8223ac25f001901a2c7"")","-22.902953","-43.5591295","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf83c3ac25f001901a2c9"")","-17.0840746","-41.0975347","Minas Gerais","Brasil",,
"ObjectId(""5ebbf8463ac25f001901a2ca"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbf87d3ac25f001901a2cc"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",
"ObjectId(""5ebbf8883ac25f001901a2cd"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbf88f3ac25f001901a2ce"")","-10.9162061","-37.0774655","Sergipe","Brasil","Aracaju",
"ObjectId(""5ebbf89d3ac25f001901a2cf"")","-20.4494839","-54.6081159","Mato Grosso do Sul","Brasil","Campo Grande",
"ObjectId(""5ebbf8a53ac25f001901a2d0"")","-27.0628367","-51.114965","Santa Catarina","Brasil",,
"ObjectId(""5ebbf8b23ac25f001901a2d2"")","-21.9549806","-49.0232348","São Paulo","Brasil",,
"ObjectId(""5ebbf8d03ac25f001901a2d3"")","-23.52072615","-46.1757620253434","São Paulo","Brasil","Mogi das Cruzes",
"ObjectId(""5ebbf8d63ac25f001901a2d4"")","-25.6704878","-53.8083036","Paraná","Brasil","Capanema",
"ObjectId(""5ebbf8dc3ac25f001901a2d5"")","-17.745","-48.625","Goiás","Brasil","Caldas Novas",
"ObjectId(""5ebbf8f03ac25f001901a2d7"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf9403ac25f001901a2da"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbf9473ac25f001901a2db"")","-1.6292632","-45.2368151","Maranhão","Brasil",,
"ObjectId(""5ebbf9563ac25f001901a2dc"")","-22.9332164","-43.2381453","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf9663ac25f001901a2dd"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",
"ObjectId(""5ebbf9733ac25f001901a2de"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",
"ObjectId(""5ebbf98a3ac25f001901a2df"")","-8.2829702","-35.9722852","Pernambuco","Brasil","Caruaru",
"ObjectId(""5ebbf9903ac25f001901a2e0"")","-23.5112184","-46.8764612","São Paulo","Brasil","Barueri",
"ObjectId(""5ebbf9a33ac25f001901a2e1"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf9aa3ac25f001901a2e2"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbf9c33ac25f001901a2e4"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbf9d93ac25f001901a2e5"")","-5.0896403","-42.809588","Piauí","Brasil","Teresina",
"ObjectId(""5ebbf9f33ac25f001901a2e7"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",
"ObjectId(""5ebbfaa93ac25f001901a2ea"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfab83ac25f001901a2eb"")","-18.8728805","-48.2990038105512","Minas Gerais","Brasil","Uberlândia",
"ObjectId(""5ebbfac03ac25f001901a2ec"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",
"ObjectId(""5ebbfae23ac25f001901a2ee"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfae83ac25f001901a2ef"")","-20.4640173","-54.6162947","Mato Grosso do Sul","Brasil","Campo Grande",
"ObjectId(""5ebbfb053ac25f001901a2f2"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbfb113ac25f001901a2f3"")","-19.1832417","-51.3998026","Goiás","Brasil","Lagoa Santa",
"ObjectId(""5ebbfb243ac25f001901a2f4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfb373ac25f001901a2f5"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfb503ac25f001901a2f6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfb5f3ac25f001901a2f7"")","-16.7273538","-43.8717676","Minas Gerais","Brasil","Montes Claros",
"ObjectId(""5ebbfb753ac25f001901a2f8"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbfb833ac25f001901a2f9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfba43ac25f001901a2fa"")","-22.8804369","-42.0189227","Rio de Janeiro","Brasil","Cabo Frio",
"ObjectId(""5ebbfbb03ac25f001901a2fb"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfbb93ac25f001901a2fc"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",
"ObjectId(""5ebbfbc63ac25f001901a2fd"")","-23.8173873","-53.0290147","Paraná","Brasil",,
"ObjectId(""5ebbfbdf3ac25f001901a2fe"")","-23.54888","-46.933889","São Paulo","Brasil","Itapevi",
"ObjectId(""5ebbfc043ac25f001901a300"")","-22.9257974","-42.507633","Rio de Janeiro","Brasil","Saquarema",
"ObjectId(""5ebbfc0a3ac25f001901a301"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbfc583ac25f001901a302"")","-22.7896225","-43.309929","Rio de Janeiro","Brasil","Duque de Caxias",
"ObjectId(""5ebbfc623ac25f001901a303"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",
"ObjectId(""5ebbfc6a3ac25f001901a304"")","-23.390161","-48.720868","São Paulo","Brasil","Paranapanema",
"ObjectId(""5ebbfc6f3ac25f001901a305"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfc753ac25f001901a306"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfc7a3ac25f001901a307"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfc813ac25f001901a308"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbfcab3ac25f001901a30a"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,
"ObjectId(""5ebbfcaf3ac25f001901a30b"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",
"ObjectId(""5ebbfcc03ac25f001901a30c"")","-29.8511627","-51.1778852","Rio Grande do Sul","Brasil","Esteio",
"ObjectId(""5ebbfcda3ac25f001901a30d"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbfced3ac25f001901a30e"")","-7.4091586","-41.8244755","Piauí","Brasil",,
"ObjectId(""5ebbfcf23ac25f001901a30f"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbfcf73ac25f001901a310"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbfcff3ac25f001901a311"")","-22.9218864","-43.384646","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfd233ac25f001901a312"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",
"ObjectId(""5ebbfd473ac25f001901a313"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",
"ObjectId(""5ebbfd513ac25f001901a314"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",
"ObjectId(""5ebbfd643ac25f001901a315"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",
"ObjectId(""5ebbfd773ac25f001901a316"")","-8.2829702","-35.9722852","Pernambuco","Brasil","Caruaru",
"ObjectId(""5ebbfd853ac25f001901a317"")","-23.3561111","-46.8769444","São Paulo","Brasil","Cajamar",
"ObjectId(""5ebbfd903ac25f001901a318"")","-12.285251","-41.9294776","Bahia","Brasil",,
"ObjectId(""5ebbfde63ac25f001901a319"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbfdec3ac25f001901a31a"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbfdfd3ac25f001901a31c"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",
"ObjectId(""5ebbfe243ac25f001901a31d"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",
"ObjectId(""5ebbfe423ac25f001901a31e"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbfe4b3ac25f001901a31f"")","-19.9132749","-44.0840953","Minas Gerais","Brasil","Contagem",
"ObjectId(""5ebbfe563ac25f001901a320"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbfe783ac25f001901a321"")","-8.0135356","-34.94453848038195","Pernambuco","Brasil","Recife",
"ObjectId(""5ebbfe923ac25f001901a322"")","-20.4640173","-54.6162947","Mato Grosso do Sul","Brasil","Campo Grande",
"ObjectId(""5ebbfeb63ac25f001901a323"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,
"ObjectId(""5ebbfed13ac25f001901a324"")","-20.1252961","-40.3064477","Espírito Santo","Brasil","Serra",
"ObjectId(""5ebbfedc3ac25f001901a325"")","-20.1252961","-40.3064477","Espírito Santo","Brasil","Serra",
