"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ec6761171fc1b0016e43660"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2.72,0.5681818181818181
"ObjectId(""5ec6764d71fc1b0016e43661"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",19.82,0.875
"ObjectId(""5ec676b071fc1b0016e43662"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0.11,0
"ObjectId(""5ec676b171fc1b0016e43663"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",0.11,0
"ObjectId(""5ec676d871fc1b0016e43664"")","-12.2578934","-38.9598047","Bahia","Brasil","Feira de Santana",0.33,0.875
"ObjectId(""5ec6771b71fc1b0016e43666"")","-20.3297293","-40.2920284","Espírito Santo","Brasil","Vila Velha",1.87,0.1
"ObjectId(""5ec6775a71fc1b0016e43667"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.05,0.5
"ObjectId(""5ec6777c71fc1b0016e43668"")","-19.4777807","-42.5270802","Minas Gerais","Brasil","Ipatinga",20.04,0
"ObjectId(""5ec6778c71fc1b0016e43669"")","-21.9549806","-49.0232348","São Paulo","Brasil",,139.87,0.19999999999999998
"ObjectId(""5ec6779171fc1b0016e4366a"")","-0.2606019","-78.5494226","Pichincha","Ecuador","Quito",2.09,
"ObjectId(""5ec677a071fc1b0016e4366b"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",18.51,0.875
"ObjectId(""5ec677b671fc1b0016e4366c"")","-13.9438142","-39.1060917","Bahia","Brasil","Camamu",0.14,0.875
"ObjectId(""5ec677e071fc1b0016e4366e"")","-5.5269279","-47.478115","Maranhão","Brasil","Imperatriz",4.83,0.875
"ObjectId(""5ec6781671fc1b0016e4366f"")","-9.9765362","-67.8220778","Acre","Brasil","Rio Branco",10.26,0.875
"ObjectId(""5ec6782371fc1b0016e43670"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",10.56,0.5
"ObjectId(""5ec6786371fc1b0016e43671"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0.58,0.25
"ObjectId(""5ec678b371fc1b0016e43672"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",12.14,0
"ObjectId(""5ec678c971fc1b0016e43673"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",12.14,0
"ObjectId(""5ec678e671fc1b0016e43674"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",781.86,0.2857142857142857
"ObjectId(""5ec678f271fc1b0016e43675"")","-12.9195682","-38.470824422123364","Bahia","Brasil","Salvador",1.75,0.875
"ObjectId(""5ec6790271fc1b0016e43677"")","-27.0628367","-51.114965","Santa Catarina","Brasil",,132.46,0
"ObjectId(""5ec6796c71fc1b0016e43679"")","-22.5225497","-44.1040128","Rio de Janeiro","Brasil","Volta Redonda",17.27,0
"ObjectId(""5ec679bd71fc1b0016e4367b"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0.11,1
"ObjectId(""5ec679e671fc1b0016e4367c"")","-2.5335396","-44.2697418","Maranhão","Brasil","São Luís",2.14,0.5
"ObjectId(""5ec679fc71fc1b0016e4367d"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0.05,1
"ObjectId(""5ec67a2571fc1b0016e4367e"")","36.1622296","-86.7743531","Tennessee","United States of America","Nashville-Davidson",12.31,0
"ObjectId(""5ec67a2d71fc1b0016e4367f"")","-8.0612688","-48.4716768","Tocantins","Brasil","Colinas do Tocantins",0.84,0
"ObjectId(""5ec67a3471fc1b0016e43680"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,2986.25,0.25
"ObjectId(""5ec67a5c71fc1b0016e43682"")","-5.6781175","-36.4781776","Rio Grande do Norte","Brasil",,1225.48,0.25
