"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ec13c0099e5ea00150b3c9b"")","-12.285251","-41.9294776","Bahia","Brasil",,12.88,0.3875
"ObjectId(""5ec13cfb99e5ea00150b3ca0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",10.64,0
"ObjectId(""5ec13d3f99e5ea00150b3ca3"")","-22.582498","-47.38728492561425","São Paulo","Brasil","Limeira",55.13,0.3875
"ObjectId(""5ec13db299e5ea00150b3ca6"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",4.86,0
"ObjectId(""5ec13de499e5ea00150b3ca9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.73,0.25
"ObjectId(""5ec13dfb99e5ea00150b3caa"")","-1.374035","-48.4016623","Pará","Brasil","Ananindeua",0.06,0.19176136363636362
"ObjectId(""5ec13e0a99e5ea00150b3cab"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.01,-0.125
"ObjectId(""5ec13e3799e5ea00150b3cad"")","-5.0896403","-42.809588","Piauí","Brasil","Teresina",18.38,0
"ObjectId(""5ec13e4299e5ea00150b3cae"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",13.84,0.7
"ObjectId(""5ec13e6099e5ea00150b3cb0"")","-12.2115009","-55.5716547","Mato Grosso","Brasil",,107.03,0.3
"ObjectId(""5ec13e9099e5ea00150b3cb2"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",42.93,0
"ObjectId(""5ec13e9899e5ea00150b3cb3"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",10.41,0
"ObjectId(""5ec13ec299e5ea00150b3cb4"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,3.5,0.1
"ObjectId(""5ec13ed999e5ea00150b3cb7"")","-21.18862445","-47.77474175178561","São Paulo","Brasil","Ribeirão Preto",0.88,0.5
"ObjectId(""5ec13ee399e5ea00150b3cb8"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",4.33,0
"ObjectId(""5ec13f0099e5ea00150b3cb9"")","-23.0070825","-43.3146881","Rio de Janeiro","Brasil","Rio de Janeiro",2.82,-0.125
"ObjectId(""5ec13f1699e5ea00150b3cba"")","-10.7299404","-37.188505750000004","Sergipe","Brasil",,3.97,0
"ObjectId(""5ec13f1d99e5ea00150b3cbb"")","-23.51060435","-46.639857203774525","São Paulo","Brasil","São Paulo",2.88,0.1
"ObjectId(""5ec13f3199e5ea00150b3cbc"")","-22.3627431","-49.0902011","São Paulo","Brasil","Bauru",6.11,0
"ObjectId(""5ec13f3699e5ea00150b3cbd"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",7.53,0
"ObjectId(""5ec13f3e99e5ea00150b3cbe"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",119.32,0.13636363636363635
"ObjectId(""5ec13f5999e5ea00150b3cbf"")","-27.5973002","-48.5496098","Santa Catarina","Brasil","Florianópolis",6.35,0.13636363636363635
"ObjectId(""5ec13f5f99e5ea00150b3cc0"")","-5.2085503","-45.3930262","Maranhão","Brasil",,1.34,0
"ObjectId(""5ec13fcd99e5ea00150b3cc4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.23,0
"ObjectId(""5ec13ffd99e5ea00150b3cc5"")","-19.4777807","-42.5270802","Minas Gerais","Brasil","Ipatinga",18.58,-1
"ObjectId(""5ec1402399e5ea00150b3cc6"")","-20.3646483","-40.6585797","Espírito Santo","Brasil","Domingos Martins",1.94,0
"ObjectId(""5ec1402f99e5ea00150b3cc7"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",6.36,0.7
"ObjectId(""5ec1404699e5ea00150b3cc9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2371.26,0
"ObjectId(""5ec1406699e5ea00150b3cca"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",1.79,0
"ObjectId(""5ec1407899e5ea00150b3ccb"")","-28.5191381","-49.3201776","Santa Catarina","Brasil","Urussanga",4.83,0
"ObjectId(""5ec1408a99e5ea00150b3ccc"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",4.3,0
"ObjectId(""5ec1409c99e5ea00150b3ccd"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0.17,0.875
"ObjectId(""5ec140a299e5ea00150b3cce"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",4.3,0
"ObjectId(""5ec140d699e5ea00150b3ccf"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,25.65,0
"ObjectId(""5ec140dd99e5ea00150b3cd0"")","-26.9215886","-49.0666448","Santa Catarina","Brasil","Blumenau",117.56,0.4041666666666666
"ObjectId(""5ec1410399e5ea00150b3cd1"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0.15,0.26633522727272724
"ObjectId(""5ec1410a99e5ea00150b3cd2"")","-12.285251","-41.9294776","Bahia","Brasil",,9.96,0
"ObjectId(""5ec1411999e5ea00150b3cd3"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",10553.82,0.7
"ObjectId(""5ec1412099e5ea00150b3cd4"")","-8.2829702","-35.9722852","Pernambuco","Brasil","Caruaru",1.46,0.041666666666666664
"ObjectId(""5ec1413299e5ea00150b3cd5"")","-29.717304650000003","-53.7674583025955","Rio Grande do Sul","Brasil","Santa Maria",10.39,0
"ObjectId(""5ec1413799e5ea00150b3cd6"")","-24.497942","-47.844895","São Paulo","Brasil","Registro",1.41,0
"ObjectId(""5ec1415199e5ea00150b3cd9"")","-12.2115009","-55.5716547","Mato Grosso","Brasil",,107.03,0.1
"ObjectId(""5ec1416e99e5ea00150b3cdb"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0.12,-0.5
"ObjectId(""5ec1418299e5ea00150b3cdc"")","-22.2752762","-42.419415","Rio de Janeiro","Brasil",,4.38,-0.4
"ObjectId(""5ec1419799e5ea00150b3cdd"")","-12.624266","-38.9885844","Bahia","Brasil","Muritiba",0,0
"ObjectId(""5ec141aa99e5ea00150b3cde"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,0.15,0
"ObjectId(""5ec141d499e5ea00150b3ce0"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0.46,0
"ObjectId(""5ec141da99e5ea00150b3ce1"")","-21.18862445","-47.77474175178561","São Paulo","Brasil","Ribeirão Preto",1.32,0.25
