"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ebff3b7070aa8001b1799f0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",8,
"ObjectId(""5ebff3cc070aa8001b1799f1"")","-18.2440862","-43.6006487","Minas Gerais","Brasil","Diamantina",1,0
"ObjectId(""5ebff3dd070aa8001b1799f2"")","-19.9601533","-43.9893018","Minas Gerais","Brasil","Belo Horizonte",3,0
"ObjectId(""5ebff3e3070aa8001b1799f3"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0,0
"ObjectId(""5ebff42b070aa8001b1799f5"")","-21.9549806","-49.0232348","São Paulo","Brasil",,1,0
"ObjectId(""5ebff453070aa8001b1799f8"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0,0.7
"ObjectId(""5ebff46e070aa8001b1799f9"")","-29.8731921","-50.3370166","Rio Grande do Sul","Brasil",,5,0
"ObjectId(""5ebff47c070aa8001b1799fa"")","-23.4430602","-46.524459","São Paulo","Brasil","Guarulhos",0,0
"ObjectId(""5ebff4a4070aa8001b1799fb"")","-10.6743911","-37.3773519","Sergipe","Brasil",,1,0
"ObjectId(""5ebff4c6070aa8001b1799fd"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0,0
"ObjectId(""5ebff4ce070aa8001b1799fe"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0,0.13333333333333333
"ObjectId(""5ebff4e3070aa8001b1799ff"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0,0
"ObjectId(""5ebff4f7070aa8001b179a00"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",0,0
"ObjectId(""5ebff503070aa8001b179a01"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",5,0.09166666666666666
"ObjectId(""5ebff548070aa8001b179a02"")","-19.9440117","-44.1310692146562","Minas Gerais","Brasil","Betim",4,0
"ObjectId(""5ebff54d070aa8001b179a03"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0,0
"ObjectId(""5ebff558070aa8001b179a04"")","-19.968056","-44.198333","Minas Gerais","Brasil","Betim",40,0.13333333333333333
"ObjectId(""5ebff573070aa8001b179a05"")","-20.4640173","-54.6162947","Mato Grosso do Sul","Brasil","Campo Grande",1,0
"ObjectId(""5ebff57e070aa8001b179a06"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
"ObjectId(""5ebff58c070aa8001b179a07"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0,0.3375
"ObjectId(""5ebff59f070aa8001b179a09"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
"ObjectId(""5ebff5a8070aa8001b179a0a"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
"ObjectId(""5ebff5af070aa8001b179a0b"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0,0
"ObjectId(""5ebff5b9070aa8001b179a0c"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
"ObjectId(""5ebff5be070aa8001b179a0d"")","-21.18862445","-47.77474175178561","São Paulo","Brasil","Ribeirão Preto",0,0
"ObjectId(""5ebff5c6070aa8001b179a0e"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",10,0
"ObjectId(""5ebff5d2070aa8001b179a0f"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",4,0
"ObjectId(""5ebff5e3070aa8001b179a10"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
"ObjectId(""5ebff5e9070aa8001b179a11"")","-23.51060435","-46.639857203774525","São Paulo","Brasil","São Paulo",1,0
"ObjectId(""5ebff5f5070aa8001b179a12"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,1491,0
"ObjectId(""5ebff5fd070aa8001b179a13"")","-0.1546599","-78.4917938","Pichincha","Ecuador","Quito",0,0
"ObjectId(""5ebff601070aa8001b179a14"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0,0
